car_model,price,year_model,kms
Chevrolet Spark 1.0 Lt M200,$21.500.000,2011,183.700
Chevrolet Spark Gt Full Equipo,$35.000.000,2016,99.500
Spark Gt Modelo 2012 Full Equipo,$28.000.000,2012,139.799
Chevrolet Spark 1.0 Life,$27.000.000,2015,59.000
Chevrolet Spark Gt Ltz,$34.000.000,2017,123.000
Chevrolet Spark 1.0 Go,$17.200.000,2008,143.000
Chevrolet Spark Gt Spark Gt 2011,$23.200.000,2011,167.000
Chevrolet Spark GT 1.2 Lt,$38.500.000,2020,28.000
Taxi - Modelo 2019,$77.000.000,2019,153.000
Chevrolet Spark GT 1.2 Ls,$37.500.000,2018,68.000
Chevrolet Spark 1.0 Life,$28.000.000,2015,36.000
Chevrolet Spark 1.0 Go,$15.000.000,2010,200.000
Chevrolet Spark GT 1.2 Lt,$37.000.000,2018,50.200
Chevrolet Spark GT 1.2 Lt,$40.000.000,2020,36.800
Chevrolet Spark Gt Rs,$33.000.000,2015,47.800
Chevrolet Spark 1.2 Gt Ls,$37.000.000,2019,44.000
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$34.000.000,2017,67.000
Chevrolet Spark 1.0 7:24 Cronos,$18.000.000,2009,130.000
Chevrolet Spark Gt Ltz,$33.500.000,2016,79.600
Chevrolet Spark Gt Ltz,$29.500.000,2014,72.000
Chevrolet Spark 1.0 Life,$27.300.000,2018,97.500
Chevrolet Spark Gt Spark Gt,$38.000.000,2019,68.000
Chevrolet Spark Gt Spark Gt,$26.000.000,2012,147.000
Chevrolet Spark 1.0 Go,$19.000.000,2012,100.000
Chevrolet Spark 1.2 Gt M300,$27.000.000,2013,213.097
Chevrolet Spark Gt Full Equipo,$33.000.000,2016,111.000
Chevrolet Spark 1.2 Gt M300 Ltz,$31.500.000,2015,107.000
"Chevrolet Spark Modelo 2013, 140.000km, 995cc",$19.500.000,2013,140.000
Chevrolet Spark 1.0 Life,$28.700.000,2019,101.000
Chevrolet Spark 1.0 Life,$27.000.000,2018,50.000
Chevrolet Spark 1.0 Go,$21.000.000,2012,57.000
Chevrolet Spark Gt Spark 1.2 Lt,$29.500.000,2012,125.000
Chevrolet Spark Gt Spark 1.2 Lt,$31.500.000,2012,107.000
Chevrolet Spark 1.0 Lt M200,$22.000.000,2010,52.000
Chevrolet Spark Gt Ltz,$33.900.000,2016,67.000
Chevrolet Spark GT 1.2 Ltz,$39.500.000,2019,60.116
Chevrolet Spark Gt Gt,$33.900.000,2017,93.000
Chevrolet Spark Gt Spark Gt,$31.900.000,2016,100.000
Chevrolet Spark GT 1.2 Ls,$35.200.000,2020,67.000
Chevrolet Spark Gt No,$36.500.000,2017,75
Chevrolet Spark Gt Full,$36.500.000,2017,75
Chevrolet Spark Gt Lt,$30.500.000,2015,102.000
Chevrolet Spark 1.0 Lt M200,$21.800.000,2012,152.000
Chevrolet Spark 1.0 Lt M200,$19.000.000,2011,150.000
Chevrolet Spark Gt Full,$34.000.000,2017,140.000
Chevrolet Spark 1.0 Life,$26.000.000,2015,92.500
Chevrolet Spark 1.0 Life,$28.000.000,2016,150.000
Chevrolet Spark Gt 2013,$28.000.000,2013,158.000
Chevrolet Spark Gt Gt,$29.000.000,2014,125.000
Chevrolet Spark 1.2 Gt Lt,$41.000.000,2019,16.500
Chevrolet Spark 1.0 Life Lujo,$24.000.000,2015,123.000
Chevrolet Spark Gt Spark Gt Ltz ,$26.000.000,2011,173.937
Chevrolet Spark 1.0 Lt M200,$21.800.000,2013,110.500
Chevrolet Spark Gt Spark Gt ,$28.000.000,2013,120.000
Chevrolet Spark Gt Spark Gt Hatch Back,$35.000.000,2016,65.000
Chevrolet Spark Chronos,$60.000.000,2011,318.000
Chevrolet Spark 1.0 7:24 Cronos,$16.550.000,2010,159.000
Chevrolet Spark Gt Gt Full Equipo,$25.000.000,2012,221.000
Chevrolet Spark Lite ,$17.000.000,2010,144.413
Chevrolet Spark GT 1.2 Ls,$38.500.000,2020,50.000
 ,0,0,0
Chevrolet Spark 1.0 Life,$23.000.000,2016,102.000
Chevrolet Spark GT 1.2 Lt,$37.500.000,2018,69.000
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$37.000.000,2017,57.000
Chevrolet Spark Gt Lte,$34.000.000,2017,65.000
Chevrolet Spark Gt,$32.000.000,2016,103.000
Chevrolet Spark 1.0 7:24 Cronos,$15.000.000,2009,198.900
Chevrolet Spark GT 1.2 Ltz,$32.000.000,2019,68.000
Chevrolet Spark 1.0 7:24 Cronos,$20.000.000,2012,111.111
Chevrolet Spark 1.0 Life,$31.000.000,2017,37.973
Chevrolet Spark GT 1.2 Lt,$35.000.000,2018,139.000
Chevrolet Spark 1.0 Go,$20.000.000,2009,203.000
Chevrolet Spark 1.0 7:24 Cronos,$21.500.000,2010,147.000
Chevrolet Spark 1.0 Life,$26.500.000,2017,94.600
Chevrolet Spark 1.0 Go,$21.800.000,2013,108.000
Chevrolet Spark Gt,$33.400.000,2015,56.700
Chevrolet Spark Gt Lt,$32.000.000,2017,122.000
Chevrolet Spark GT 1.2 Lt,$35.000.000,2018,54.257
Chevrolet Spark 1.2 Gt Ls,$40.000.000,2020,48.700
Chevrolet Spark GT 1.2 Lt,$35.000.000,2018,73.000
Chevrolet Spark Gt Spark Gt Modelo 2013,$28.000.000,2013,114.000
Chevrolet Spark 1.0 Life,$24.500.000,2015,135.000
Chevrolet Spark 1.2 Gt M300,$28.800.000,2011,58.300
Chevrolet Spark Gt Mecanico Gt,$25.500.000,2011,158.000
